title,link,link_type,published,summary
What keeps China’s president up at night?,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hjy3d1.mp3,audio/mpeg,"Sun, 17 Mar 2024 13:00:00 +0000","<p>A bonus episode from The Global Story podcast. What keeps China’s president up at night? The Global Story brings you one big story every weekday, making sense of the news with our experts around the world. Insights you can trust, from the BBC, with Katya Adler. For more, go to bbcworldservice.com/globalstory or search for The Global Story wherever you get your BBC podcasts.</p>"
What keeps China’s president up at night?,http://www.bbc.co.uk/programmes/p0hjy4cc,text/html,"Sun, 17 Mar 2024 13:00:00 +0000","<p>A bonus episode from The Global Story podcast. What keeps China’s president up at night? The Global Story brings you one big story every weekday, making sense of the news with our experts around the world. Insights you can trust, from the BBC, with Katya Adler. For more, go to bbcworldservice.com/globalstory or search for The Global Story wherever you get your BBC podcasts.</p>"
Russia says Ukraine attacks south,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hk4w3b.mp3,audio/mpeg,"Sun, 17 Mar 2024 00:16:00 +0000","<p>Moscow accuses Ukraine of 'terrorism' and 'sabotage' aimed at disrupting the ongoing presidential election. Also: The largest democratic exercise in the world - the Indian elections - will take place over six weeks from April, and why the lavish French banquet has become more of a frugal feast.</p>"
Russia says Ukraine attacks south,http://www.bbc.co.uk/programmes/p0hk4w9g,text/html,"Sun, 17 Mar 2024 00:16:00 +0000","<p>Moscow accuses Ukraine of 'terrorism' and 'sabotage' aimed at disrupting the ongoing presidential election. Also: The largest democratic exercise in the world - the Indian elections - will take place over six weeks from April, and why the lavish French banquet has become more of a frugal feast.</p>"
The Happy Pod: country star Jordan Davis wants more good news,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hjy2b0.mp3,audio/mpeg,"Sat, 16 Mar 2024 12:01:00 +0000","<p>This week, the singer Jordan Davis tells us how the need for more positive and uplifting stories inspired his latest song, Good News Sold. Also: the school children surfing the web without internet access, and the birth of a rare, bright orange baby monkey.</p>"
The Happy Pod: country star Jordan Davis wants more good news,http://www.bbc.co.uk/programmes/p0hjy3qp,text/html,"Sat, 16 Mar 2024 12:01:00 +0000","<p>This week, the singer Jordan Davis tells us how the need for more positive and uplifting stories inspired his latest song, Good News Sold. Also: the school children surfing the web without internet access, and the birth of a rare, bright orange baby monkey.</p>"
Blinken warns about 'global threat' of synthetic drugs,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hk0ghp.mp3,audio/mpeg,"Sat, 16 Mar 2024 01:09:00 +0000","<p>The US Secretary of State, Antony Blinken, said synthetic drugs were now the number one killer of Americans between the ages of eighteen and forty-five. Also: Georgia prosecutor's ex-lover resigns from Trump case, and python meat could soon be on the menu!</p>"
Blinken warns about 'global threat' of synthetic drugs,http://www.bbc.co.uk/programmes/p0hk0h3j,text/html,"Sat, 16 Mar 2024 01:09:00 +0000","<p>The US Secretary of State, Antony Blinken, said synthetic drugs were now the number one killer of Americans between the ages of eighteen and forty-five. Also: Georgia prosecutor's ex-lover resigns from Trump case, and python meat could soon be on the menu!</p>"
Voting in Russian presidential election begins,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hjxpf1.mp3,audio/mpeg,"Fri, 15 Mar 2024 15:51:00 +0000","<p>Vladimir Putin is certain to win six more years in office. Also: The first ship carrying aid to Gaza has arrived off the coast of the territory, and a new biography reflects on artist Keith Haring's life.</p>"
Voting in Russian presidential election begins,http://www.bbc.co.uk/programmes/p0hjxqvh,text/html,"Fri, 15 Mar 2024 15:51:00 +0000","<p>Vladimir Putin is certain to win six more years in office. Also: The first ship carrying aid to Gaza has arrived off the coast of the territory, and a new biography reflects on artist Keith Haring's life.</p>"
Top US Democrat Schumer calls for new Israel election,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hjshtr.mp3,audio/mpeg,"Fri, 15 Mar 2024 00:57:00 +0000","<p>The US Senate majority leader, Chuck Schumer sharply criticises the Israeli PM Benjamin Netanyahu accusing him of prioritising his ""political survival"". Also: Elon Musk's Starship goes ""farther than ever"", and $500k sand dune built to protect holiday homes in US washes away in days.</p>"
Top US Democrat Schumer calls for new Israel election,http://www.bbc.co.uk/programmes/p0hjsjfs,text/html,"Fri, 15 Mar 2024 00:57:00 +0000","<p>The US Senate majority leader, Chuck Schumer sharply criticises the Israeli PM Benjamin Netanyahu accusing him of prioritising his ""political survival"". Also: Elon Musk's Starship goes ""farther than ever"", and $500k sand dune built to protect holiday homes in US washes away in days.</p>"
At least 50 migrants die in Mediterranean sea,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hjnz85.mp3,audio/mpeg,"Thu, 14 Mar 2024 16:05:00 +0000","<p>Survivors say the engine cut out three days into their crossing, leaving them without food or water. Also: Our Russia Editor Steve Rosenberg is on the campaign trail ahead of this weekend's Presidential election, and a new campaign hopes to give slugs an image makeover.</p>"
At least 50 migrants die in Mediterranean sea,http://www.bbc.co.uk/programmes/p0hjp1rq,text/html,"Thu, 14 Mar 2024 16:05:00 +0000","<p>Survivors say the engine cut out three days into their crossing, leaving them without food or water. Also: Our Russia Editor Steve Rosenberg is on the campaign trail ahead of this weekend's Presidential election, and a new campaign hopes to give slugs an image makeover.</p>"
US Congress passes bill that could ban TikTok nationwide,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hjhkf0.mp3,audio/mpeg,"Thu, 14 Mar 2024 00:45:00 +0000","<p>The proposed legislation would force a Chinese tech giant to sell its stake in the app but its fate in the US Senate is unclear. Also: Israel says it is investigating a strike on a UN food distribution centre in Gaza; and a US man who spent most of the past 70 years in an ""iron lung"", dies aged 78.</p>"
US Congress passes bill that could ban TikTok nationwide,http://www.bbc.co.uk/programmes/p0hjhkhz,text/html,"Thu, 14 Mar 2024 00:45:00 +0000","<p>The proposed legislation would force a Chinese tech giant to sell its stake in the app but its fate in the US Senate is unclear. Also: Israel says it is investigating a strike on a UN food distribution centre in Gaza; and a US man who spent most of the past 70 years in an ""iron lung"", dies aged 78.</p>"
Navalny ally accuses Russia of hammer attack,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hjclhw.mp3,audio/mpeg,"Wed, 13 Mar 2024 15:08:00 +0000","<p>Alexei Navalny ally Leonid Volkov says a man working on behalf of Vladimir Putin attacked him outside his home with a meat hammer.  Also, child mortality at a record low; another mass kidnapping in Nigeria; and the sounds of coral reefs.</p>"
Navalny ally accuses Russia of hammer attack,http://www.bbc.co.uk/programmes/p0hjcnqs,text/html,"Wed, 13 Mar 2024 15:08:00 +0000","<p>Alexei Navalny ally Leonid Volkov says a man working on behalf of Vladimir Putin attacked him outside his home with a meat hammer.  Also, child mortality at a record low; another mass kidnapping in Nigeria; and the sounds of coral reefs.</p>"
A transitional council is expected in Haiti within days,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hj7hq1.mp3,audio/mpeg,"Wed, 13 Mar 2024 00:23:00 +0000","<p>The council in violence-ridden Haiti will be tasked with nominating a new prime minister following the resignation of Ariel Henry. Also: Biden to send new $300m weapons package to Ukraine, and  the ""happiness hacks"" that can improve your mental health.</p>"
A transitional council is expected in Haiti within days,http://www.bbc.co.uk/programmes/p0hj7hxr,text/html,"Wed, 13 Mar 2024 00:23:00 +0000","<p>The council in violence-ridden Haiti will be tasked with nominating a new prime minister following the resignation of Ariel Henry. Also: Biden to send new $300m weapons package to Ukraine, and  the ""happiness hacks"" that can improve your mental health.</p>"
Haiti's prime minister resigns,http://open.live.bbc.co.uk/mediaselector/6/redir/version/2.0/mediaset/audio-nondrm-download-low/proto/http/vpid/p0hj50zx.mp3,audio/mpeg,"Tue, 12 Mar 2024 15:28:00 +0000","<p>Ariel Henry has stepped down and a transitional presidential council will be established. Also: An aid ship towing two hundred tonnes of humanitarian assistance is on its way to Gaza, and X-rays reveal the secrets of a 280 year old violin.</p>"
Haiti's prime minister resigns,http://www.bbc.co.uk/programmes/p0hj5347,text/html,"Tue, 12 Mar 2024 15:28:00 +0000","<p>Ariel Henry has stepped down and a transitional presidential council will be established. Also: An aid ship towing two hundred tonnes of humanitarian assistance is on its way to Gaza, and X-rays reveal the secrets of a 280 year old violin.</p>"
