title,link,link_type,published,summary
"You're NEVER too old to start! (""I Do What I Want"" by The Penny Candies)",https://www.buzzsprout.com/832021/2815153-you-re-never-too-old-to-start-i-do-what-i-want-by-the-penny-candies.mp3,audio/mpeg,"Mon, 24 Feb 2020 00:00:00 -0500","<p>Every Monday, Sam spews his opinions about Ear Training. You are never too old to start learning music and training your ear!</p>"
"Harmony Wednesday (""Say"" by Salt)",https://www.buzzsprout.com/832021/2753368-harmony-wednesday-say-by-salt.mp3,audio/mpeg,"Wed, 19 Feb 2020 00:00:00 -0500","<p>Every Wednesday, Sam sits and analyzes the harmony and chords of the song of the week.</p>"
"Melody Tuesday (""Say"" by Salt)",https://www.buzzsprout.com/832021/2753365-melody-tuesday-say-by-salt.mp3,audio/mpeg,"Tue, 18 Feb 2020 00:00:00 -0500",<p>Every Tuesday Sam sits and analyzes the melody of the song of the week.</p>
"Don't Wait to Learn Your Scales (""Say"" by Salt)",https://www.buzzsprout.com/832021/2753356-don-t-wait-to-learn-your-scales-say-by-salt.mp3,audio/mpeg,"Mon, 17 Feb 2020 00:00:00 -0500","<p>Every Monday Sam sits and talks about general principles about Music Theory and Ear Training. Learn all of your scales, and learn them as thoroughly as you possibly can!</p>"
"Chord Wednesday (""Bluerock"" by Cayson Renshaw)",https://www.buzzsprout.com/832021/2709892-chord-wednesday-bluerock-by-cayson-renshaw.mp3,audio/mpeg,"Wed, 12 Feb 2020 00:00:00 -0500",<p>Every Wednesday Sam sits and analyzes the chords to the song of the week. Enjoy!</p>
"Melody Tuesday (""Bluerock"" by Cayson Renshaw)",https://www.buzzsprout.com/832021/2709883-melody-tuesday-bluerock-by-cayson-renshaw.mp3,audio/mpeg,"Tue, 11 Feb 2020 00:00:00 -0500",<p>Every Tuesday Sam sits and analyzes the melody of the song of the week. Enjoy!</p>
"Don't Worry About Perfect Pitch! (""Bluerock"" by Cayson Renshaw)",https://www.buzzsprout.com/832021/2684857-don-t-worry-about-perfect-pitch-bluerock-by-cayson-renshaw.mp3,audio/mpeg,"Mon, 10 Feb 2020 00:00:00 -0500","<p>Every Monday Sam sits and discusses general principles of Ear Training with you. This week, learn why Relative Pitch is far superior to the unattainable Perfect Pitch.</p>"
"Production Friday (""Deja Vu"" by Garon Brett)",https://www.buzzsprout.com/832021/2634748-production-friday-deja-vu-by-garon-brett.mp3,audio/mpeg,"Fri, 07 Feb 2020 00:00:00 -0500",<p>Every Friday Sam sits and analyzes the production and arrangement of the song of the week. Enjoy!</p>
"Form Thursday (""Deja Vu"" by Garon Brett)",https://www.buzzsprout.com/832021/2634694-form-thursday-deja-vu-by-garon-brett.mp3,audio/mpeg,"Thu, 06 Feb 2020 00:00:00 -0500","<p>Every Thursday, Sam sits and analyzes the form (verse, chorus, etc.) of the song of the week. Enjoy!</p>"
"Harmony Wednesday (""Deja Vu"" by Garon Brett)",https://www.buzzsprout.com/832021/2663389-harmony-wednesday-deja-vu-by-garon-brett.mp3,audio/mpeg,"Wed, 05 Feb 2020 00:00:00 -0500",<p>Every Wednesday Sam sits and discusses the harmony in the song of the week. Enjoy!</p>
Melody Tuesday,https://www.buzzsprout.com/832021/2634685-melody-tuesday.mp3,audio/mpeg,"Tue, 04 Feb 2020 00:00:00 -0500",
"The Relationship Between Major and Minor (""Deja Vu"" by Garon Brett)",https://www.buzzsprout.com/832021/2634646-the-relationship-between-major-and-minor-deja-vu-by-garon-brett.mp3,audio/mpeg,"Mon, 03 Feb 2020 00:00:00 -0500",<p>Every Monday Sam sits and talks about the General Principles of Ear Training and Music Theory.</p>
"Production Friday (""In a Different Time"" by Ben Day)",https://www.buzzsprout.com/832021/2555914-production-friday-in-a-different-time-by-ben-day.mp3,audio/mpeg,"Fri, 31 Jan 2020 00:00:00 -0500","<p>Every Friday, Sam sits down for 10 minutes to analyze the production, arrangement, and engineering of a song. Enjoy the beautiful simplicity of &quot;In a Different Time.&quot;<br /><br /></p>"
"Form Thursday! (""In a Different Time"" by Ben Day)",https://www.buzzsprout.com/832021/2555896-form-thursday-in-a-different-time-by-ben-day.mp3,audio/mpeg,"Thu, 30 Jan 2020 00:00:00 -0500","<p>Every Thursday, Sam sits down and analyzes the form of a song for 10 minutes.<br /><br /></p>"
"Harmony Wednesday (""In a Different Time"" by Ben Day)",https://www.buzzsprout.com/832021/2555791-harmony-wednesday-in-a-different-time-by-ben-day.mp3,audio/mpeg,"Wed, 29 Jan 2020 00:00:00 -0500","<p>Every Wednesday morning, Sam covers the chords and harmony underlying a song. Enjoy Sam&apos;s analysis of &quot;In a Different Time&quot; by Ben Day.<br /><br /><br /></p>"
"Melody Tuesday! (""In a Different Time"" by Ben Day)",https://www.buzzsprout.com/832021/2555776-melody-tuesday-in-a-different-time-by-ben-day.mp3,audio/mpeg,"Tue, 28 Jan 2020 04:00:00 -0500","<p>Fresh every Tuesday morning, Sam analyzes the key center and melody of a different song. Join this morning for a good long discussion of finding the key center.<br /><br />&quot;In a Different Time&quot; by Ben Day:<br /><a href=""https://open.spotify.com/track/3QdFHgnUlk9eubBTHlK8cY?si=xVu63lPpR-SeMI5xFks7CQ"">https://open.spotify.com/track/3QdFHgnUlk9eubBTHlK8cY?si=xVu63lPpR-SeMI5xFks7CQ</a><br /><br />Ben Day on Instagram:<br /><a href=""http://www.instagram.com/ben.day.music"">http://www.instagram.com/ben.day.music</a></p>"
"Why Solfege? (""In a Different Time"" by Ben Day)",https://www.buzzsprout.com/832021/2555725-why-solfege-in-a-different-time-by-ben-day.mp3,audio/mpeg,"Thu, 23 Jan 2020 11:00:00 -0500","<p>Welcome to Episode 1! Every Monday is General Principles day, a day where Sam covers a different principle regarding Music Theory and Ear Training. Today he avidly defends his belief in the value of Solfege.<br /><br /></p>"
